Source / Medium,Year,Month of the year,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Revenue,Quantity Sold
F,2020,6,"12,324","11,664","16,149",59.48%,"48,908",00:01:51,0.55,89,"13,951",182
I,2019,12,"10,275","7,523","15,686",54.54%,"44,207",00:01:21,0.31,49,"7,434",68
C,2020,8,"11,946","8,525","15,172",54.73%,"44,710",00:01:29,0.45,68,"7,729",132
F,2019,12,"12,351","11,794","14,797",54.76%,"50,265",00:02:08,0.39,58,"12,242",72
C,2020,7,"9,930","6,789","13,141",52.42%,"42,336",00:01:41,0.43,56,"6,244",129
F,2019,10,"9,099","8,747","11,405",31.19%,"31,980",00:02:28,0.39,45,"9,499",69
F,2020,1,"8,964","8,481","11,113",60.41%,"38,427",00:02:20,0.55,61,"15,567",96
G,2020,8,"6,686","1,241","11,018",55.41%,"33,737",00:01:54,0.77,85,"12,214",170
F,2020,4,"8,078","7,512","10,890",59.39%,"37,074",00:02:40,0.57,62,"8,954",120
F,2020,2,"8,055","7,467","10,375",58.28%,"35,176",00:02:22,0.61,63,"13,965",118
F,2019,11,"7,869","7,463","10,252",53.63%,"38,871",00:02:50,0.49,50,"11,723",79
D,2020,7,"7,215","6,676","10,101",87.07%,"12,415",00:00:40,0,0,0,0
J,2020,5,"9,414","8,590","9,928",58.97%,"25,042",00:01:17,0.23,23,"3,520",38
F,2020,8,"7,737","7,317","9,849",54.26%,"31,573",00:01:59,0.39,38,"7,173",84
F,2020,3,"7,298","6,694","9,583",60.92%,"30,567",00:02:15,0.42,40,"7,060",82
I,2020,5,"5,933","1,852","8,437",44.39%,"34,162",00:02:09,1.3,110,"13,430",179
F,2019,9,"5,824","5,518","7,349",53.63%,"28,215",00:02:52,1.86,137,"22,287",181
K,2019,12,"5,851","4,826","7,200",44.36%,"27,226",00:01:41,0.1,7,"1,298",8
K,2019,11,"5,204","4,484","6,540",45.18%,"24,275",00:01:38,0.05,3,480,3
E,2020,5,"4,328",637,"6,497",53.50%,"22,742",00:02:22,0.68,44,"6,783",87
C,2019,12,"4,701","3,245","6,079",69.45%,"12,912",00:00:54,0.26,16,"3,014",19
L,2020,1,"2,249",26,"5,699",79.03%,"10,421",00:00:58,0.09,5,776,5
L,2020,2,"2,016",20,"5,357",79.65%,"9,440",00:00:59,0.09,5,620,6
K,2019,10,"4,627","4,161","5,352",30.36%,"20,371",00:01:45,0.11,6,"1,157",22
M,2019,9,"3,504","2,184","4,882",56.47%,"16,125",00:01:59,0.2,10,"1,576",17
N,2020,5,"4,224","4,151","4,822",82.81%,"7,727",00:00:42,0,0,0,0
M,2019,10,"2,824","1,701","4,150",29.76%,"15,145",00:02:14,0.14,6,"1,217",14
L,2019,11,"1,830",31,"4,060",79.16%,"8,122",00:01:14,0.12,5,623,9
L,2019,12,"1,890",18,"4,033",72.95%,"10,040",00:02:03,0.17,7,"1,320",12
K,2019,9,"3,345","3,031","3,721",50.28%,"11,704",00:01:16,0,0,0,0
O,2020,6,"1,422",20,"3,714",75.71%,"7,597",00:01:33,0.03,1,111,5
L,2019,10,"1,528",11,"3,703",55.14%,"7,678",00:01:16,0,0,0,0
O,2020,5,"1,491",13,"3,595",70.93%,"9,164",00:01:56,0.14,5,"1,139",14
P,2020,6,"3,114","2,655","3,457",63.12%,"8,551",00:01:42,0.58,20,"2,666",26
P,2020,7,"2,997","2,602","3,368",64.34%,"7,758",00:01:34,0.24,8,"1,059",10
M,2019,11,"2,251","1,262","3,265",50.23%,"12,367",00:02:28,0.12,4,644,8
P,2020,5,"2,773","2,289","3,189",63.94%,"8,462",00:02:00,0.44,14,"2,382",28
C,2019,9,"2,805","2,243","3,121",49.98%,"11,136",00:01:45,0.13,4,"1,132",9
P,2020,1,"2,688","2,089","2,978",73.98%,"5,905",00:01:21,0.34,10,"2,262",22
R,2019,10,"2,033","1,523","2,840",37.11%,"11,116",00:02:54,0.25,7,"1,280",12
I,2020,4,"2,537","1,834","2,797",59.81%,"12,348",00:02:27,1.32,37,"4,221",56
R,2019,12,"2,045","1,495","2,777",51.24%,"10,627",00:02:14,0.11,3,333,5
M,2019,12,"2,202","1,439","2,714",52.47%,"8,588",00:02:02,0.26,7,"1,242",12
P,2020,2,"2,355","1,800","2,637",73.00%,"5,229",00:01:22,0.42,11,"1,863",17
R,2020,1,"1,884","1,298","2,624",47.60%,"11,183",00:03:00,0.42,11,"1,515",20
R,2020,4,"1,688","1,268","2,537",52.98%,"9,793",00:03:13,0.2,5,"1,005",9
S,2020,5,"1,188",585,"2,466",25.43%,"7,721",00:04:09,31.75,783,"130,744","1,927"
O,2020,7,946,20,"2,424",74.59%,"5,082",00:01:45,0.12,3,277,7
D,2020,4,"1,965","1,886","2,317",83.25%,"3,173",00:00:40,0,0,0,0
R,2020,2,"1,682","1,212","2,274",49.82%,"9,928",00:03:39,0.48,11,"2,198",23
N,2020,4,"2,091","2,072","2,235",85.68%,"3,321",00:00:26,0,0,0,0
P,2019,12,"1,944","1,528","2,164",70.89%,"4,480",00:01:15,0.23,5,644,5
M,2020,5,"1,724","1,011","2,089",56.15%,"8,703",00:02:46,1.29,27,"3,759",43
M,2020,6,"1,801","1,072","2,065",45.71%,"10,277",00:02:55,2.76,57,"7,728",117
S,2020,4,991,595,"2,012",17.59%,"6,184",00:04:35,36.18,728,"112,265","1,504"
P,2020,3,"1,567","1,183","1,795",71.31%,"3,616",00:01:30,0.39,7,"1,331",7
J,2020,8,"1,698","1,423","1,774",58.96%,"4,714",00:01:13,0.23,4,489,5
D,2020,8,698,414,"1,693",87.71%,"1,988",00:01:05,0,0,0,0
R,2019,11,"1,282",838,"1,683",50.27%,"7,043",00:02:46,0.12,2,697,4
T,2020,6,888,472,"1,633",35.70%,"9,451",00:04:54,0.86,14,"1,758",25
T,2020,7,865,493,"1,628",40.79%,"8,510",00:04:47,0.61,10,"1,416",23
P,2020,4,"1,407","1,121","1,589",65.14%,"4,272",00:02:05,0.63,10,"1,434",16
S,2020,6,836,436,"1,466",18.01%,"4,785",00:04:51,38.61,566,"103,253","1,430"
P,2019,9,"1,332",994,"1,465",67.65%,"3,204",00:01:37,0.27,4,793,6
P,2020,8,"1,323","1,100","1,463",60.36%,"3,756",00:02:04,0.62,9,"1,706",11
T,2020,5,901,558,"1,443",38.05%,"7,391",00:03:57,0.69,10,"1,129",16
R,2019,9,"1,070",776,"1,420",45.56%,"7,522",00:04:16,0.28,4,659,8
L,2020,3,618,4,"1,417",80.52%,"2,432",00:01:05,0.14,2,301,5
R,2020,3,"1,043",735,"1,413",47.91%,"6,289",00:04:27,1.13,16,"1,598",27
I,2020,3,"1,195",735,"1,385",53.86%,"6,808",00:02:53,1.88,26,"4,120",52
U,2020,6,477,193,"1,344",47.17%,"2,716",00:02:20,17.11,230,"48,328",532
O,2020,8,559,14,"1,149",77.11%,"2,208",00:01:52,0,0,0,0
S,2020,3,524,282,"1,146",25.39%,"2,680",00:03:55,31.76,364,"58,819",739
l.M,2019,10,773,417,"1,130",27.08%,"5,233",00:02:54,0,0,0,0
M,2020,7,932,597,"1,100",46.09%,"5,477",00:03:19,3.73,41,"5,550",72
U,2020,5,483,237,"1,094",29.25%,"2,474",00:03:01,24.59,269,"51,587",612
P,2019,10,977,754,"1,082",5.55%,"2,142",00:01:47,0.18,2,340,2
T,2020,8,703,381,"1,050",44.00%,"4,457",00:03:40,0.38,4,375,5
l.M,2020,5,803,364,"1,045",24.69%,"6,864",00:04:37,1.15,12,"1,717",20
l.K,2020,5,927,768,"1,043",14.96%,"7,017",00:03:49,0.77,8,"1,661",24
K,2020,6,916,736,"1,033",21.88%,"5,691",00:03:10,0.97,10,"1,176",13
l.M,2019,9,691,365,"1,020",46.96%,"4,222",00:02:24,0.2,2,370,2
V,2020,1,903,887,956,54.60%,"2,652",00:01:07,0,0,0,0
U,2020,4,370,178,947,33.69%,"2,062",00:03:13,26.61,252,"47,532",488
Y,2020,5,913,864,943,61.61%,"2,576",00:01:36,0,0,0,0
M,2020,8,807,593,940,57.23%,"4,219",00:02:43,3.83,36,"5,164",76
l.K,2020,4,827,644,888,14.19%,"5,689",00:03:41,0.68,6,972,12
U,2020,7,349,151,882,49.09%,"1,687",00:02:10,17.57,155,"31,855",361
S,2020,7,582,362,864,11.46%,"2,702",00:04:32,40.05,346,"63,057",829
l.M,2019,11,633,298,861,42.51%,"3,634",00:02:39,0.23,2,623,2
S,2019,11,453,366,819,12.94%,"4,360",00:04:51,31.38,257,"66,600",397
Z,2019,11,617,533,802,43.14%,"4,003",00:03:22,0,0,0,0
S,2020,2,410,230,786,33.33%,"1,642",00:03:00,26.72,210,"38,728",329
AA,2019,9,743,710,771,63.29%,"1,581",00:03:52,0,0,0,0
C,2019,10,680,442,748,19.65%,"3,300",00:02:22,0.53,4,880,4
Z,2020,5,616,555,743,47.24%,"3,958",00:04:11,0.81,6,897,10
I,2020,1,663,433,739,46.41%,"4,424",00:03:12,0.54,4,773,4
BB,2019,9,255,2,733,80.63%,"1,376",00:01:08,0.14,1,103,1
l.K,2019,12,618,523,680,13.38%,"4,625",00:03:27,0.29,2,363,4
l.M,2020,4,547,277,666,10.51%,"5,878",00:05:49,0.75,5,541,8
S,2020,1,336,213,658,25.08%,"1,539",00:03:51,26.6,175,"44,790",259
K,2020,7,580,497,650,18.92%,"3,616",00:03:31,0.46,3,217,6
K,2020,8,575,502,648,18.06%,"3,667",00:03:18,0.31,2,238,4
I,2020,2,518,251,646,28.33%,"4,553",00:04:13,2.48,16,"2,079",18
M,2020,4,615,558,644,84.63%,"1,397",00:01:09,0.78,5,792,17
CC,2020,5,565,402,637,39.56%,"3,109",00:03:25,5.81,37,"9,673",87
l.K,2020,1,543,408,620,12.58%,"5,096",00:04:14,0.65,4,507,6
S,2019,12,375,258,604,11.92%,"1,436",00:04:00,26.66,161,"31,449",231
l.M,2019,12,475,243,598,31.94%,"3,164",00:03:22,0.17,1,110,1
Z,2020,6,488,433,596,48.49%,"2,108",00:03:00,0.67,4,586,5
Z,2020,1,475,416,573,49.21%,"2,300",00:03:04,0,0,0,0
K,2020,5,486,344,569,34.27%,"2,628",00:02:23,0.53,3,378,6
Z,2020,4,428,385,564,51.06%,"2,263",00:02:55,0.35,2,266,2
Z,2020,2,453,404,562,50.71%,"2,264",00:02:50,0.71,4,886,4
Z,2019,10,464,382,560,31.25%,"2,602",00:02:57,0.36,2,367,3
Z,2019,12,448,375,554,43.32%,"3,014",00:03:49,0.72,4,318,5
V,2020,2,497,471,534,53.37%,"1,281",00:01:10,0.19,1,55,1
S,2019,10,319,237,530,6.98%,"2,883",00:04:48,42.08,223,"52,544",353
l.K,2019,11,441,371,512,15.04%,"3,416",00:04:03,0,0,0,0
l.K,2020,2,436,346,505,12.67%,"3,266",00:03:55,0.2,1,97,1
DD,2020,8,320,209,503,41.15%,"2,357",00:05:22,1.79,9,"1,307",10
M,2020,1,490,467,497,91.75%,748,00:00:23,0,0,0,0
l.K,2019,9,441,401,481,14.35%,"2,614",00:02:44,0,0,0,0
AA,2019,11,434,391,481,62.79%,"1,171",00:01:45,0,0,0,0
l.K,2019,10,385,339,479,13.36%,"2,794",00:04:28,0.42,2,348,2
U,2020,3,200,61,460,35.65%,966,00:03:16,22.17,102,"20,547",174
M,2020,3,422,384,453,86.53%,999,00:01:13,0.44,2,224,5
Z,2020,7,367,325,442,52.26%,"1,572",00:02:54,0.68,3,846,3
R,2020,5,277,145,440,43.41%,"2,209",00:04:24,0.45,2,153,3
l.K,2020,3,386,285,436,13.76%,"2,657",00:04:00,0.23,1,42,1
V,2020,5,408,388,424,61.56%,"1,034",00:01:21,0,0,0,0
lI,2019,10,244,132,422,25.83%,"1,122",00:01:40,0.24,1,70,1
Z,2019,9,348,293,418,47.85%,"1,931",00:02:59,0.96,4,"1,769",13
U,2020,2,187,90,401,28.18%,856,00:02:41,22.69,91,"21,843",169
Z,2020,3,343,293,399,47.37%,"1,509",00:03:00,1,4,779,5
V,2020,3,381,359,394,52.54%,"1,035",00:01:21,0.25,1,80,2
Z,2020,8,336,301,393,54.20%,"1,234",00:02:33,0.25,1,280,5
M,2020,2,372,341,387,87.86%,736,00:00:52,0.52,2,334,2
CC,2020,8,226,116,373,24.66%,"2,475",00:04:59,4.83,18,"2,977",31
l.M,2020,3,293,120,360,14.17%,"2,956",00:05:57,2.22,8,"1,224",18
AA,2019,10,334,294,359,43.73%,969,00:02:09,0,0,0,0
AA,2019,12,297,249,336,55.06%,862,00:02:00,0,0,0,0
V,2020,4,318,307,330,57.27%,929,00:01:31,0,0,0,0
U,2020,1,159,83,320,35.94%,604,00:03:01,24.38,78,"20,242",123
CC,2020,4,254,175,307,28.01%,"2,249",00:05:38,7.82,24,"5,603",68
E,2020,6,126,24,301,63.12%,902,00:02:13,0,0,0,0
l.M,2020,1,250,133,299,14.05%,"2,424",00:04:26,1.67,5,798,8
AA,2020,1,262,223,296,56.08%,870,00:02:20,0,0,0,0
AA,2020,2,246,204,287,56.45%,849,00:02:30,0,0,0,0
S,2019,9,183,141,283,12.37%,"1,646",00:05:28,33.22,94,"16,933",130
EE,2019,12,124,11,279,34.77%,"1,380",00:04:01,4.66,13,"2,672",13
lI,2019,11,153,73,269,57.99%,678,00:01:36,0.37,1,242,1
U,2019,12,175,104,268,19.78%,478,00:02:56,26.12,70,"14,964",98
l.M,2020,2,215,103,268,11.94%,"2,001",00:04:33,1.87,5,456,6
U,2019,11,194,155,267,0.00%,827,00:03:32,20.22,54,"15,128",101
CC,2020,6,180,83,255,38.04%,"1,234",00:03:49,7.45,19,"4,106",47
BB,2019,10,86,6,248,46.77%,449,00:01:12,0,0,0,0
FF,2019,12,193,171,235,38.72%,"1,581",00:03:51,0.85,2,503,2
FF,2019,11,188,157,223,47.98%,828,00:02:44,0.9,2,343,2
GG,2020,4,216,213,219,98.63%,237,00:00:02,0,0,0,0
U,2019,10,146,114,216,0.00%,722,00:04:06,31.02,67,"15,358",110
HH,2020,8,81,15,215,25.58%,"1,389",00:05:18,1.4,3,439,7
II,2020,8,102,24,214,42.06%,986,00:04:37,1.4,3,450,10
lI,2019,12,135,73,211,54.98%,632,00:01:32,0,0,0,0
lI,2019,9,128,62,210,53.33%,687,00:02:07,0,0,0,0
H,2020,1,86,15,206,83.98%,279,00:00:42,0,0,0,0
EE,2019,10,114,3,203,24.14%,"1,188",00:04:58,2.96,6,"1,698",8
JJ,2019,11,158,132,198,33.84%,"1,388",00:03:55,0,0,0,0
CC,2020,7,108,47,193,36.79%,"1,007",00:04:02,6.74,13,"2,081",39
FF,2020,1,140,127,192,50.52%,893,00:02:52,0.52,1,195,1
EE,2019,11,116,13,191,26.18%,"1,277",00:05:20,3.66,7,"1,995",15
L,2020,4,54,4,191,75.92%,287,00:01:27,0,0,0,0
FF,2019,10,162,144,190,41.58%,720,00:01:55,0,0,0,0
EE,2020,1,102,16,186,39.25%,983,00:03:36,7.53,14,"3,796",23
FF,2019,9,164,153,180,57.78%,879,00:02:59,0,0,0,0
AA,2020,6,132,115,178,60.67%,511,00:02:22,0.56,1,81,1
AA,2020,3,138,116,173,61.85%,764,00:03:00,0,0,0,0
L,2019,9,86,1,169,76.92%,275,00:01:01,0,0,0,0
JJ,2019,10,132,103,169,32.54%,992,00:03:51,1.18,2,"1,558",22
C,2019,11,150,41,168,30.95%,"1,188",00:04:42,0,0,0,0
FF,2020,2,127,107,156,47.44%,737,00:03:37,1.92,3,460,11
BB,2019,11,41,1,152,67.76%,241,00:01:49,0,0,0,0
E,2020,7,73,18,149,60.40%,400,00:01:51,0.67,1,160,1
K,2020,1,123,71,147,70.75%,335,00:00:55,0,0,0,0
EE,2020,2,87,16,146,31.51%,"1,013",00:04:57,8.9,13,"2,590",21
FF,2020,5,120,106,140,36.43%,696,00:03:54,0.71,1,47,1
FF,2020,6,119,104,139,42.45%,613,00:03:07,0,0,0,0
K,2020,4,123,76,137,42.34%,484,00:01:56,0,0,0,0
U,2019,9,90,83,137,0.00%,465,00:03:43,18.98,26,"5,908",42
KK,2020,5,119,112,135,26.67%,546,00:03:40,0,0,0,0
JJ,2020,1,94,71,135,28.89%,"1,226",00:06:49,2.96,4,"2,111",5
EE,2019,9,77,3,133,30.83%,970,00:05:35,6.02,8,"1,506",14
JJ,2020,5,109,91,132,33.33%,840,00:04:39,0.76,1,130,1
AA,2020,5,111,97,131,61.07%,324,00:01:26,0,0,0,0
K,2020,2,112,81,130,68.46%,297,00:01:20,0,0,0,0
JJ,2019,12,117,90,129,29.46%,"1,000",00:05:36,0.78,1,81,1
K,2020,3,111,70,127,62.20%,397,00:01:27,0.79,1,77,1
euromessage / push,2020,5,99,1,125,60.80%,396,00:01:44,0,0,0,0
